snagid,site,plotid,group,crown,xc,yc,z_m,spp,dbh,ht,top,bark,branches,fungi,intensity,forage,insects,cavsum
BR22X2_DF04,cda,BR22X2,LB,NO,533467.2411,5281632.849,931.97,DF,0.49,4.6,BT,FULL,N,Y,N,Y,Y,0
BR22X2_GF01,cda,BR22X2,LB,YES,533478.8702,5281659.479,920.74,GF,0.42,20.63,BT,SOME,M,N,H,Y,Y,0
BR22X4_GF01,cda,BR22X4,SI,NO,539062.8017,5284216.516,1258.26,GF,0.39,20.34,INTACT,SOME,C,N,S,N,Y,0
BR22X4_GF02,cda,BR22X4,SI,NO,539065.7135,5284207.422,1248.14,GF,0.21,21.34,INTACT,SOME,C,N,S,N,Y,0
BR22X4_GF03,cda,BR22X4,SB,NO,539069.4633,5284207.558,1235.68,GF,0.19,13.02,BT,SOME,N,N,N,N,Y,0
BR22X4_GF04,cda,BR22X4,SB,NO,539074.5178,5284214.483,1257.2,GF,0.3,8.23,BT,SOME,N,N,S,N,N,0
BR22X4_GF05,cda,BR22X4,SI,YES,539066.1618,5284196.533,1276.78,GF,0.19,21.54,INTACT,FULL,F,N,S,N,N,0
BR22X4_GF06,cda,BR22X4,SI,YES,539057.1981,5284179.69,1270.19,GF,0.3,17.65,INTACT,SOME,M,N,S,Y,Y,0
BR22X4_GF07,cda,BR22X4,LB,NO,539055.509,5284185.458,1275.51,GF,0.45,16.19,BT,SOME,N,Y,S,Y,Y,0
BR22X4_WH01,cda,BR22X4,SB,NO,539056.3,5284201.69,1285.76,WH,0.22,6.45,BT,FULL,C,N,S,Y,Y,0
BR22XA_DF02,cda,BR22XA,SB,NO,550837.6483,5279296.421,1221.78,DF,0.28,NA,BT,FULL,N,Y,S,Y,UNK,2
BR22XA_DF03,cda,BR22XA,LI,YES,550829.8775,5279300.688,1285.49,DF,0.45,28.07,INTACT,FULL,F,N,S,N,UNK,0
BR22XA_DF04,cda,BR22XA,LI,YES,550816.1816,5279304.236,1251.46,DF,0.41,NA,INTACT,FULL,M,N,S,N,UNK,0
BR22XA_DF05,cda,BR22XA,LI,YES,550825.8499,5279306.21,1254.26,DF,0.46,27.25,INTACT,FULL,F,N,S,N,UNK,0
HS210B_DF01,stj,HS210B,LB,NO,569965.0444,5221039.494,1447.31,DF,0.44,10.19,BT,FULL,C,N,S,Y,Y,3
HS211C_GF01,stj,HS211C,SI,YES,571264.9173,5220124.151,1544.57,GF,0.37,NA,INTACT,FULL,V,Y,S,N,UNK,0
HS211C_GF02,stj,HS211C,SI,YES,571277.4878,5220100.628,1549.55,GF,0.22,NA,INTACT,SOME,M,N,N,UNK,N,0
HS21X1_GF02,stj,HS21X1,LI,YES,570846.5504,5220020.774,1377.1,GF,0.55,34.9,INTACT,FULL,V,Y,L,N,Y,0
HS21X1_GF03,stj,HS21X1,SI,YES,570839.5238,5220018.467,1356.93,GF,0.21,18.83,INTACT,FULL,V,Y,L,N,Y,0
HS21X1_WL01,stj,HS21X1,SB,NO,570837.8701,5220023.56,1363.18,WL,0.28,14.02,BT,FULL,N,Y,S,Y,Y,0
HS220C_RC01,stj,HS220C,LB,NO,570299.4902,5222196.346,1462.29,RC,0.9,22,BT,SOME,N,N,N,Y,UNK,6
HS220C_RC03,stj,HS220C,LB,NO,570291.8582,5222194.143,1483.03,RC,1.4,21.4,BT,SOME,N,N,N,N,UNK,0
HS220G_RC01,stj,HS220G,LI,NO,572707.4102,5219625.623,1331.34,RC,0.42,23.3,INTACT,NONE,N,N,N,Y,UNK,1
HS220G_RC02,stj,HS220G,SB,NO,572709.7101,5219605.09,1345.46,RC,0.38,2.3,BT,NONE,N,N,N,N,N,0
HS220G_RC04,stj,HS220G,LB,YES,572692.3282,5219599.764,1336.71,RC,0.73,6.8,BT,FULL,M,N,N,Y,Y,0
HS220G_UN02,stj,HS220G,LI,YES,572691.3895,5219602.086,1336.69,UN,0.44,19.6,INTACT,FULL,M,N,L,Y,Y,1
HS220H_WL01,stj,HS220H,LI,NO,572275.9811,5219372.941,1307.38,WL,0.59,38.8,INTACT,SOME,N,N,S,Y,Y,0
HS220H_WL03,stj,HS220H,LI,YES,572260.9237,5219363.533,1292.29,WL,0.64,50,INTACT,SOME,M,Y,S,UNK,UNK,0
HS220H_WL04,stj,HS220H,LB,NO,572252.9921,5219373.217,1290.25,WL,0.71,38,BT,SOME,C,Y,S,Y,Y,1
HS221A_RC02,stj,HS221A,LB,NO,568498.0419,5220659.031,1135.92,RC,0.46,1.65,BT,NONE,N,N,N,N,N,0
HS221A_RC03,stj,HS221A,LI,NO,568488.3921,5220673.701,1145.19,RC,0.42,16.73,INTACT,NONE,N,N,N,Y,Y,0
HS221A_RC04,stj,HS221A,LB,NO,568489.4871,5220664.267,1152.04,RC,0.45,1.5,BT,NONE,N,N,N,N,N,0
HS221A_UN01,stj,HS221A,SB,NO,568509.6081,5220649.162,1154.93,UN,0.17,1.6,BT,FULL,N,N,S,N,Y,0
HS221A_WL02,stj,HS221A,SB,NO,568513.144,5220651.648,1147.93,WL,0.22,NA,BT,FULL,N,N,S,Y,Y,0
HS221A_WL03,stj,HS221A,SI,NO,568514.5514,5220661.111,1154.6,WL,0.21,NA,INTACT,FULL,N,N,S,Y,Y,0
HS221A_WL04,stj,HS221A,SI,NO,568504.3078,5220681.221,1151.18,WL,0.18,NA,INTACT,FULL,N,N,S,Y,Y,0
HS221A_WL05,stj,HS221A,SB,NO,568490.7017,5220670.727,1144.89,WL,0.22,2,BT,FULL,N,N,S,Y,Y,0
HS221F_DF01,stj,HS221F,SB,NO,568540.7513,5221700.712,1193.07,DF,0.38,7.93,BT,FULL,N,Y,N,Y,Y,0
HS221F_ES01,stj,HS221F,SI,YES,568544.0218,5221673.631,1166.78,ES,0.17,14.22,INTACT,FULL,F,N,N,N,Y,0
HS221F_GF02,stj,HS221F,SI,YES,568538.0462,5221711.684,1159.23,GF,0.21,18.53,INTACT,FULL,V,N,N,N,Y,0
HS221F_UN01,stj,HS221F,SI,NO,568533.5896,5221690.515,1154.02,UN,0.33,21.21,INTACT,NONE,N,N,N,N,Y,0
HS221F_UN02,stj,HS221F,LI,NO,568539.1912,5221711.03,1157.26,UN,0.47,32.68,INTACT,NONE,N,N,S,N,Y,0
